Ocupação;Quantitativo;Porcentagem;Ano
VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;77;0,006;2002
VENDEDOR DE COMERCIO VAREJISTA E ATACADISTA;69;0,0054;2002
POLICIAL MILITAR;257;0,0202;2002
ENFERMEIRO;43;0,0034;2002
ENCANADOR,SOLDADOR,CHAPEADOR,CALDEIREIRO,MONTADOR DE ESTRUTURA METALIC;7;0,0005;2002
FOTOGRAFO E TRABALHADOR ASSEMELHADO;11;0,0009;2002
TECNICO DE LABORATORIO E RAIOS X;14;0,0011;2002
PETROLEIRO;6;0,0005;2002
EMPRESARIO E PRODUTOR DE ESPETACULOS PUBLICOS;22;0,0017;2002
ATOR E DIRETOR DE ESPETACULOS PUBLICOS;10;0,0008;2002
TABELIAO;11;0,0009;2002
CANTOR E COMPOSITOR;21;0,0016;2002
FEIRANTE, AMBULANTE E MASCATE;7;0,0005;2002
RELOJOEIRO E MONTADOR DE INSTRUMENTO DE PRECISAO;1;0,0001;2002
PORTEIRO DE EDIFICIO, ASCENSORISTA, GARAGISTA, FAXINEIRO E ZELADOR;12;0,0009;2002
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;90;0,0071;2002
SECRETARIO,ESTENOGRAFO,DATILOGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUIGRAF;49;0,0038;2002
GEOFISICO;1;0,0001;2002
DIRETOR DE EMPRESAS;30;0,0024;2002
TECNICO DE ENFERMAGEM E TRABALHADOR ASSEMELHADO (EXCETO ENFERMEIRO);26;0,002;2002
FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;12;0,0009;2002
DIGITADOR;14;0,0011;2002
MATEMATICO E ATUARIO;2;0,0002;2002
GEOGRAFO;5;0,0004;2002
PESCADOR;4;0,0003;2002
GEOLOGO;5;0,0004;2002
FERROVIARIO;7;0,0005;2002
TORNEIRO MECANICO;3;0,0002;2002
TECNICO TEXTIL;1;0,0001;2002
Garçom;7;0,0006;2006
Publicitário;54;0,0044;2006
Pecuarista;46;0,0038;2006
Padeiro, Confeiteiro e Assemelhados;5;0,0004;2006
Técnico em Informática;12;0,001;2006
Estudante, Bolsista, Estagiário e Assemelhados;227;0,0186;2006
Cantor e Compositor;28;0,0023;2006
Carpinteiro, Marceneiro e Assemelhados;16;0,0013;2006
Zootecnista;4;0,0003;2006
Historiador;4;0,0003;2006
