Ocupação;Quantitativo;Porcentagem;Ano
BANCARIO E ECONOMIARIO;47;0,0096;2002
FONOAUDIOLOGO;1;0,0002;2002
COMERCIARIO;18;0,0037;2002
ESCULTOR, PINTOR, ARTISTA PLASTICO E ASSEMELHADOS;4;0,0008;2002
PARAMEDICO;1;0,0002;2002
JARDINEIRO;1;0,0002;2002
ECONOMISTA;50;0,0102;2002
PROTETICO;2;0,0004;2002
BOMBEIRO MILITAR;11;0,0022;2002
ELETRICISTA E ASSEMELHADOS;10;0,002;2002
RELACOES PUBLICAS;3;0,0006;2002
MINISTRO DO PODER JUDICIARIO E MAGISTRADO;1;0,0002;2002
ATENDENTE DE LANCHONETE E RESTAURANTE;1;0,0002;2002
TECNICO DE QUIMICA;1;0,0002;2002
PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;190;0,0388;2002
ADMINISTRADOR;81;0,0165;2002
ARQUITETO;16;0,0033;2002
POLICIAL CIVIL;14;0,0029;2002
MEMBRO DAS FORCAS ARMADAS;30;0,0061;2002
ODONTOLOGO;24;0,0049;2002
VETERINARIO;10;0,002;2002
DETETIVE PARTICULAR;4;0,0008;2002
GERENTE;10;0,002;2002
COBRADOR DE TRANSPORTE COLETIVO;1;0,0002;2002
TRABALHADOR DE FABRICACAO DE CALCADOS E ARTEFATOS DE COURO;1;0,0002;2002
TECNICO DE OBRAS CIVIS, ESTRADAS, SANEAMENTO E TRABALHADOR ASSEMELHADO;4;0,0008;2002
BIOLOGO E BIOMEDICO;3;0,0006;2002
ZOOTECNISTA;1;0,0002;2002
INDUSTRIAL;14;0,0029;2002
EMPRESARIO E PRODUTOR DE ESPETACULOS PUBLICOS;11;0,0022;2002
POLICIAL MILITAR;97;0,0198;2002
VENDEDOR DE COMERCIO VAREJISTA E ATACADISTA;22;0,0045;2002
ENFERMEIRO;13;0,0027;2002
PETROLEIRO;5;0,001;2002
VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;19;0,0039;2002
TABELIAO;4;0,0008;2002
TECNICO DE LABORATORIO E RAIOS X;4;0,0008;2002
ATOR E DIRETOR DE ESPETACULOS PUBLICOS;5;0,001;2002
FOTOGRAFO E TRABALHADOR ASSEMELHADO;7;0,0014;2002
CANTOR E COMPOSITOR;9;0,0018;2002
ENCANADOR,SOLDADOR,CHAPEADOR,CALDEIREIRO,MONTADOR DE ESTRUTURA METALIC;2;0,0004;2002
